id,song_score
3YBfHJTZPHn5DqgMnD6g5g,52.6705951405175
3RiebNMjrNhskI2jn9AZ20,77.94228297940009
5pUudDDuJgIpgKIGk2zmxv,88.19828881264078
4N6jSDQb5PaR9d1IYM2aBz,56.13253040085433
5yViQYHD5MLNtr1rJCyidH,45.56366015167461
7gWp2hHJYtnLLvIw9ltH0V,60.09323876726251
1aG48rp0EN1Qu4GOfU9Vaq,53.261417611939535
08VqVNSBQNzYzRDNhEoOav,68.0436148509757
5N6l51sD0KZKwAWJEo8dg2,58.676040532748644
7dZanttu013xDQlAJprAZC,77.0098953067752
4mL25h2hl6gdyu9tNTudnI,71.42513619944721
12TOa8pzhbLTWh1vxIsPMp,66.39965455631433
0fqLhIZcRydCPJp7FRe1b2,48.566382847790166
2N3U8uTYhjX2KwGT0pf5x0,64.67993453118174
1TGBgPEtnmPU3EsFR9s6zd,19.97290232166082
44NwjH8iMskEqgvpkbDfzT,53.12980770473873
7xcUWyLh6fIMsYjoVI7NnZ,46.514923115509035
1p1b9LdLJ0REuFJX9mYtFX,65.63973016090542
4FZOSDwALdWxcGcRbwXWJ8,37.79298718290159
45cbPNzKF4YsMDdzYaXLDd,46.258943138831654
05GcclyhZv49AF9ZMX20dG,23.841044191452344
7N3c9CKUmRqrt3dDvGWBWG,53.29580684112953
4T9PRL2ykQDKxgF3XWsPga,49.950484681279086
4sYbZjRCyaFqCtJ2Uvfh8B,85.85387421816218
1qX8PPcXhbPzBU3f8jjfxZ,69.57406483274683
2pFC6DEdMhxQWUTptwVyS4,46.737806691161445
43M5EZXbN0RhqEyZRoswyI,70.6036731833825
5OkYfk72CNL8XLqa3gp9q7,31.051146867865214
1APrKVAuOsotWulrz0GyAz,40.3675251907568
5cYZm4KeDKM8Pw8z5XRKJt,76.517586341529
4S7YHmlWwfwArgd8LfSPud,49.001548808141735
068XDWvE8tDnQsKo8J3x1Z,62.31871317055766
2SbW7MZDaBTq65mePW7swh,56.33886577599427
78Mr0T5qO8VhMK9F1teFE6,43.51039045996241
60duIJNZHIhT3FAjq8LaNv,36.70959718060035
4g3IrwIgcR2NIaO1h10orQ,78.17938766486793
1j8bp1BNjMxUJV7nLkSUrb,69.38350196122033
4B2oBPbkxxmTOuIHmPryic,30.610809594853517
0F8FJjvopb8WYgRXb5Qb9F,59.024328440409676
6H167kbd8gY2Eewzf14YjD,74.62669586734549
15NQ3x1f2GUhqs8oBXhTqp,49.276404076028655
1xLs8Mu1QEVbGCpyHQ2r2U,71.74317192804637
51u3nlTacgtiWxRQGPd4go,74.8932770349762
5WXIgZes8ntlCwLJfOzeyB,51.23917579618824
0WpaajH1lCsf4dQOkHvUY2,71.6123377177446
2FMO2IFR4cJSe5D4BlpDV8,84.31049595474069
1otG6j1WHNvl9WgXLWkHTo,59.6741038761574
26iPcR6OwOslkiGc8cTqAf,62.02601687399321
0JLG2zYwaRpwFHw3nH10WR,62.98270971612079
4keHa1UN3c9OWHVv3BE5ra,66.14264031710492
2sBClvs8a18rHtJTGtuEAJ,68.52273696893852
5fbHRCsGpFIOLRtlhCRFDR,76.64764485493177
6qouBO0wJtYc3k7DfKRUBx,54.56510553356312
1p80LdxRV74UKvL8gnD7ky,65.05588896157457
2gAGWaK4wvt2xrFUlR4mK8,39.65310834675721
2v738AcSrqklWKhBpV5alf,79.17693387701068
3EG9FJ0ToLfgnc1IG2Z1wz,72.12067775223727
72Pf3VRjCGRpnhCthX2oYk,52.03633364275022
5Yfy4sbXzwFRe4gxrV2TAS,67.17638571786871
5sbZj8hcae2ebXVBonKQ6g,75.70388029445455
5DOZZe7PypFsrvJY8KSjpT,69.03805827552236
6Ww8GHdPCl8MqZBhPn4LKd,71.36799319455255
09xpQPfKWdio1wx6v17dGa,52.43866176770982
46oHvXwpEZOFX518we1nJD,67.21051638142569
0KLvDgrhFKo6k1ZSHiv5v3,79.58882893039157
6XrRiRgDivf3Kv4CKuQh9o,74.5015501009699
6WnYONkaYOchkMXUz0Eu0W,59.51301748679377
6lH7E41rJRKTkMzo5p4uJB,73.82100535489427
6zvqq50PL7io0rprbkrYc9,52.46322550284553
5IJbTPhcj0IjdzUaYqwe2I,76.11680961036744
6UaxyaWcV9Os9BcZet6Dem,28.992188732226847
